airport, alternates
VHHH, VMMC|ZGSZ|RCKH|RCTP
CYVR, KSEA|KGEG
CYYZ, CYHM|CYOW
EBBR, EHAM|LFPG
EGLL, EGKK|EGCC
EGCC, EGLL|EGKK
EDDF, EDDL|EDDM
EDDM, EDDN|EDDS|EDDF
EHAM,EBBR|EDDL
FAOR, FBSK|FALE
KATL, KBHM|KMEM
KBOS, KJFK|KEWR
KDFW, KAFW|KIAH
KJFK, KEWR|CYYZ|KBOS
KLAX, KLAS|KSFO
KMIA, KFLL|KMCO
KORD, CYYZ|KRFD
KPDX, KSEA|KGEG
KSEA, CYVR|KPDX
KSFO, KOAK|KLAX
LEBL, LFBO
LEMD, LEVC
LFPG, LFPO|EBBR
LIMC, LIMF
LSZH, LFSB
MMGL, MMSM|KIAH
MMMX, MMGL|KIAH
MMSM, MMGL|MMMX
PANC, PAFA|PAED
RCTP, VHHH|RCKH
RJCC, RJAA|RJTT
YSSY, YMML|YBBN
YBCS, YBTL|YBBN
YMML, YMAV|YSSY
YBBN, YBCG|YSSY
YPPH, YGEL|YPAD
YPAD, YMML|YSSY
NZAA, NZOH|NZCH
NZCH, NZOH|NZAA
VABB, VAAH|VOHS
VIDP, VAAH|VOHS
VCBI, VOMM|VOBL
VOMM, VOBL|VOHS
VOHS, VOBL|VOMM
